# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	197	1558	+					dnaA		SP_RS00005	1362		old_locus_tag=SP_0001
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	197	1558	+	WP_000660618.1	WP_000660618.1		chromosomal replication initiator protein DnaA	dnaA		SP_RS00005	1362	453	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	1717	2853	+					dnaN		SP_RS00010	1137		old_locus_tag=SP_0002
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	1717	2853	+	WP_000581157.1	WP_000581157.1		DNA polymerase III subunit beta	dnaN		SP_RS00010	1137	378	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	2918	3112	+							SP_RS00015	195		old_locus_tag=SP_0003
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	2918	3112	+	WP_000285194.1	WP_000285194.1		DUF951 domain-containing protein			SP_RS00015	195	64	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	3196	4311	+					ychF		SP_RS00020	1116		old_locus_tag=SP_0004
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	3196	4311	+	WP_001218714.1	WP_001218714.1		redox-regulated ATPase YchF	ychF		SP_RS00020	1116	371	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	4382	4951	+					pth		SP_RS00025	570		old_locus_tag=SP_0005
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	4382	4951	+	WP_000163932.1	WP_000163932.1		aminoacyl-tRNA hydrolase	pth		SP_RS00025	570	189	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	4952	8461	+					mfd		SP_RS00030	3510		old_locus_tag=SP_0006
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	4952	8461	+	WP_000258094.1	WP_000258094.1		transcription-repair coupling factor	mfd		SP_RS00030	3510	1169	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	8519	8785	+							SP_RS00035	267		old_locus_tag=SP_0007
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	8519	8785	+	WP_001234978.1	WP_001234978.1		RNA-binding S4 domain-containing protein			SP_RS00035	267	88	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	8778	9146	+							SP_RS00040	369		old_locus_tag=SP_0008
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	8778	9146	+	WP_000041909.1	WP_000041909.1		septum formation initiator family protein			SP_RS00040	369	122	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	9151	9273	+							SP_RS13570	123		old_locus_tag=SP_0009
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	9151	9273	+	WP_000429334.1	WP_000429334.1		SP_0009 family protein			SP_RS13570	123	40	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	9266	10534	+							SP_RS00050	1269		old_locus_tag=SP_0010
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	9266	10534	+	WP_001224760.1	WP_001224760.1		serine hydrolase			SP_RS00050	1269	422	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	10531	11808	+					tilS		SP_RS00055	1278		old_locus_tag=SP_0011
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	10531	11808	+	WP_001208979.1	WP_001208979.1		tRNA lysidine(34) synthetase TilS	tilS		SP_RS00055	1278	425	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	11812	12354	+					hpt		SP_RS00060	543		old_locus_tag=SP_0012
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	11812	12354	+	WP_000892185.1	WP_000892185.1		hypoxanthine phosphoribosyltransferase	hpt		SP_RS00060	543	180	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	12370	14328	+					ftsH		SP_RS00065	1959		old_locus_tag=SP_0013
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	12370	14328	+	WP_000744538.1	WP_000744538.1		ATP-dependent zinc metalloprotease FtsH	ftsH		SP_RS00065	1959	652	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	14450	14929	+							SP_RS00070	480		old_locus_tag=SP_0014
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	14450	14929	+	WP_000588925.1	WP_000588925.1		sigma-70 family RNA polymerase sigma factor			SP_RS00070	480	159	
gene	tRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	15023	15094	+							SP_RS00075	72		old_locus_tag=SP_2242
tRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	15023	15094	+				tRNA-Glu			SP_RS00075	72		anticodon=TTC
gene	rRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	15348	16893	+							SP_RS00080	1546		old_locus_tag=SP_rrnaA16S
rRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	15348	16893	+				16S ribosomal RNA			SP_RS00080	1546		
gene	tRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	16945	17017	+							SP_RS00085	73		old_locus_tag=SP_2243
tRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	16945	17017	+				tRNA-Ala			SP_RS00085	73		anticodon=TGC
gene	rRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	17142	20043	+							SP_RS00090	2902		old_locus_tag=SP_rrnaA23S
rRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	17142	20043	+				23S ribosomal RNA			SP_RS00090	2902		
gene	rRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20120	20235	+					rrf		SP_RS00095	116		old_locus_tag=SP_rrnaA5S
rRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20120	20235	+				5S ribosomal RNA	rrf		SP_RS00095	116		
gene	tRNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20241	20314	+							SP_RS00100	74		old_locus_tag=SP_2244
tRNA		GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20241	20314	+				tRNA-Asn			SP_RS00100	74		anticodon=GTT
