# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	1	1362	+					dnaA		SPD_RS00005	1362		old_locus_tag=SPD_0001
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	1	1362	+	WP_000660615.1	WP_000660615.1		chromosomal replication initiator protein DnaA	dnaA		SPD_RS00005	1362	453	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	1521	2657	+					dnaN		SPD_RS00010	1137		old_locus_tag=SPD_0002
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	1521	2657	+	WP_000581138.1	WP_000581138.1		DNA polymerase III subunit beta	dnaN		SPD_RS00010	1137	378	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	2722	2916	+							SPD_RS00015	195		old_locus_tag=SPD_0003
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	2722	2916	+	WP_000285191.1	WP_000285191.1		DUF951 domain-containing protein			SPD_RS00015	195	64	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	3000	4115	+					ychF		SPD_RS00020	1116		old_locus_tag=SPD_0004
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	3000	4115	+	WP_001218707.1	WP_001218707.1		redox-regulated ATPase YchF	ychF		SPD_RS00020	1116	371	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	4186	4755	+					pth		SPD_RS00025	570		old_locus_tag=SPD_0005
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	4186	4755	+	WP_000163929.1	WP_000163929.1		aminoacyl-tRNA hydrolase	pth		SPD_RS00025	570	189	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	4756	8265	+					mfd		SPD_RS00030	3510		old_locus_tag=SPD_0006
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	4756	8265	+	WP_000258109.1	WP_000258109.1		transcription-repair coupling factor	mfd		SPD_RS00030	3510	1169	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8323	8589	+							SPD_RS00035	267		old_locus_tag=SPD_0007
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8323	8589	+	WP_001234978.1	WP_001234978.1		RNA-binding S4 domain-containing protein			SPD_RS00035	267	88	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8582	8950	+							SPD_RS00040	369		old_locus_tag=SPD_0008
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8582	8950	+	WP_000041909.1	WP_000041909.1		septum formation initiator family protein			SPD_RS00040	369	122	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8955	9077	+							SPD_RS11820	123		old_locus_tag=SPD_0009
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	8955	9077	+	WP_000429334.1	WP_000429334.1		SP_0009 family protein			SPD_RS11820	123	40	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	9070	10338	+							SPD_RS00045	1269		old_locus_tag=SPD_0010
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	9070	10338	+	WP_001224760.1	WP_001224760.1		serine hydrolase			SPD_RS00045	1269	422	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	10335	11612	+					tilS		SPD_RS00050	1278		old_locus_tag=SPD_0011
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	10335	11612	+	WP_001208977.1	WP_001208977.1		tRNA lysidine(34) synthetase TilS	tilS		SPD_RS00050	1278	425	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	11616	12158	+					hpt		SPD_RS00055	543		old_locus_tag=SPD_0012
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	11616	12158	+	WP_000892185.1	WP_000892185.1		hypoxanthine phosphoribosyltransferase	hpt		SPD_RS00055	543	180	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	12174	14132	+					ftsH		SPD_RS00060	1959		old_locus_tag=SPD_0013
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	12174	14132	+	WP_000744557.1	WP_000744557.1		ATP-dependent zinc metalloprotease FtsH	ftsH		SPD_RS00060	1959	652	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	14254	14733	+							SPD_RS00065	480		old_locus_tag=SPD_0014
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	14254	14733	+	WP_000588897.1	WP_000588897.1		sigma-70 family RNA polymerase sigma factor			SPD_RS00065	480	159	
gene	tRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	14827	14898	+							SPD_RS00070	72		old_locus_tag=SPD_0015
tRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	14827	14898	+				tRNA-Glu			SPD_RS00070	72		anticodon=TTC
gene	rRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	15151	16696	+							SPD_RS00075	1546		old_locus_tag=SPD_0016
rRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	15151	16696	+				16S ribosomal RNA			SPD_RS00075	1546		
gene	tRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	16748	16820	+							SPD_RS00080	73		old_locus_tag=SPD_0017
tRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	16748	16820	+				tRNA-Ala			SPD_RS00080	73		anticodon=TGC
gene	rRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	16945	19846	+							SPD_RS00085	2902		old_locus_tag=SPD_0018
rRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	16945	19846	+				23S ribosomal RNA			SPD_RS00085	2902		
gene	rRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	19923	20038	+					rrf		SPD_RS00090	116		old_locus_tag=SPD_0019
rRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	19923	20038	+				5S ribosomal RNA	rrf		SPD_RS00090	116		
gene	tRNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	20044	20117	+							SPD_RS00095	74		old_locus_tag=SPD_0020
tRNA		GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	20044	20117	+				tRNA-Asn			SPD_RS00095	74		anticodon=GTT
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	20225	21071	+							SPD_RS00100	847		pseudo
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	20225	21071	+				IS630 family transposase			SPD_RS00100	847		pseudo
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	21106	21902	-							SPD_RS00105	797		partial;pseudo;old_locus_tag=SPD_0022
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	21106	21902	-				transposase			SPD_RS00105	797		partial;pseudo
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	22168	22404	+					comW		SPD_RS00110	237		old_locus_tag=SPD_0023
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	22168	22404	+	WP_000939545.1	WP_000939545.1		sigma(X)-activator ComW	comW		SPD_RS00110	237	78	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	22635	23921	+							SPD_RS00115	1287		old_locus_tag=SPD_0024
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	22635	23921	+	WP_000205044.1	WP_000205044.1		adenylosuccinate synthase			SPD_RS00115	1287	428	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24122	24589	+					tadA		SPD_RS00120	468		old_locus_tag=SPD_0025
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24122	24589	+	WP_000291874.1	WP_000291874.1		tRNA adenosine(34) deaminase TadA	tadA		SPD_RS00120	468	155	
gene	SRP_RNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24622	24719	+					ffs		SPD_RS00125	98		
ncRNA	SRP_RNA	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24622	24719	+				signal recognition particle sRNA small type	ffs		SPD_RS00125	98		
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24776	25219	+							SPD_RS00130	444		old_locus_tag=SPD_0027
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	24776	25219	+	WP_000701992.1	WP_000701992.1		dUTP diphosphatase			SPD_RS00130	444	147	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	25221	25736	+							SPD_RS00135	516		old_locus_tag=SPD_0028
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	25221	25736	+	WP_000691236.1	WP_000691236.1		histidine phosphatase family protein			SPD_RS00135	516	171	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	25750	27111	+					radA		SPD_RS00140	1362		old_locus_tag=SPD_0029
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	25750	27111	+	WP_074017595.1	WP_074017595.1		DNA repair protein RadA	radA		SPD_RS00140	1362	453	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	27184	27681	+							SPD_RS00145	498		old_locus_tag=SPD_0030
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	27184	27681	+	WP_001809263.1	WP_001809263.1		beta-class carbonic anhydrase			SPD_RS00145	498	165	
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	27706	28489	+							SPD_RS00150	784		pseudo;old_locus_tag=SPD_0031
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	27706	28489	+				PrsW family glutamic-type intramembrane protease			SPD_RS00150	784		pseudo
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	28634	29602	+							SPD_RS00155	969		old_locus_tag=SPD_0033
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	28634	29602	+	WP_000010163.1	WP_000010163.1		ribose-phosphate diphosphokinase			SPD_RS00155	969	322	
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	29735	30016	-							SPD_RS00160	282		partial;pseudo;old_locus_tag=SPD_0034
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	29735	30016	-				ISL3 family transposase			SPD_RS00160	282		partial;pseudo
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	30143	31053	-							SPD_RS11420	911		pseudo
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	30143	31053	-				Rpn family recombination-promoting nuclease/putative transposase			SPD_RS11420	911		pseudo
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	31306	33939	+					polA		SPD_RS00180	2634		old_locus_tag=SPD_0038
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	31306	33939	+	WP_000358433.1	WP_000358433.1		DNA polymerase I	polA		SPD_RS00180	2634	877	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	34024	34461	+							SPD_RS00185	438		old_locus_tag=SPD_0039
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	34024	34461	+	WP_000076479.1	WP_000076479.1		CoA-binding protein			SPD_RS00185	438	145	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	34652	35662	-							SPD_RS00190	1011		old_locus_tag=SPD_0040
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	34652	35662	-	WP_000009141.1	WP_000009141.1		YeiH family protein			SPD_RS00190	1011	336	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	35811	36980	+							SPD_RS00195	1170		old_locus_tag=SPD_0041
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	35811	36980	+	WP_000366378.1	WP_000366378.1		pyridoxal phosphate-dependent aminotransferase			SPD_RS00195	1170	389	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	36977	37747	+					recO		SPD_RS00200	771		old_locus_tag=SPD_0042
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	36977	37747	+	WP_000616166.1	WP_000616166.1		DNA repair protein RecO	recO		SPD_RS00200	771	256	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	37744	38736	+					plsX		SPD_RS00205	993		old_locus_tag=SPD_0043
