# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	1	1362	+					dnaA		SPR_RS00005	1362		old_locus_tag=spr0001
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	1	1362	+	WP_000660615.1	WP_000660615.1		chromosomal replication initiator protein DnaA	dnaA		SPR_RS00005	1362	453	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	1521	2657	+					dnaN		SPR_RS00010	1137		old_locus_tag=spr0002
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	1521	2657	+	WP_000581138.1	WP_000581138.1		DNA polymerase III subunit beta	dnaN		SPR_RS00010	1137	378	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	2722	2916	+							SPR_RS00015	195		old_locus_tag=spr0003
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	2722	2916	+	WP_000285191.1	WP_000285191.1		DUF951 domain-containing protein			SPR_RS00015	195	64	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	3000	4115	+					ychF		SPR_RS00020	1116		old_locus_tag=spr0004
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	3000	4115	+	WP_001218707.1	WP_001218707.1		redox-regulated ATPase YchF	ychF		SPR_RS00020	1116	371	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	4186	4755	+					pth		SPR_RS00025	570		old_locus_tag=spr0005
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	4186	4755	+	WP_000163929.1	WP_000163929.1		aminoacyl-tRNA hydrolase	pth		SPR_RS00025	570	189	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	4756	8265	+					mfd		SPR_RS00030	3510		old_locus_tag=spr0006
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	4756	8265	+	WP_000258109.1	WP_000258109.1		transcription-repair coupling factor	mfd		SPR_RS00030	3510	1169	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8323	8589	+							SPR_RS00035	267		old_locus_tag=spr0007
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8323	8589	+	WP_001234978.1	WP_001234978.1		RNA-binding S4 domain-containing protein			SPR_RS00035	267	88	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8582	8950	+							SPR_RS00040	369		old_locus_tag=spr0008
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8582	8950	+	WP_000041909.1	WP_000041909.1		septum formation initiator family protein			SPR_RS00040	369	122	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8955	9077	+							SPR_RS10915	123		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	8955	9077	+	WP_000429334.1	WP_000429334.1		SP_0009 family protein			SPR_RS10915	123	40	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	9070	10338	+							SPR_RS00045	1269		old_locus_tag=spr0009
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	9070	10338	+	WP_001224760.1	WP_001224760.1		serine hydrolase			SPR_RS00045	1269	422	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	10335	11612	+					tilS		SPR_RS00050	1278		old_locus_tag=spr0010
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	10335	11612	+	WP_001208977.1	WP_001208977.1		tRNA lysidine(34) synthetase TilS	tilS		SPR_RS00050	1278	425	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	11616	12158	+					hpt		SPR_RS00055	543		old_locus_tag=spr0011
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	11616	12158	+	WP_000892185.1	WP_000892185.1		hypoxanthine phosphoribosyltransferase	hpt		SPR_RS00055	543	180	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	12174	14132	+					ftsH		SPR_RS00060	1959		old_locus_tag=spr0012
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	12174	14132	+	WP_000744557.1	WP_000744557.1		ATP-dependent zinc metalloprotease FtsH	ftsH		SPR_RS00060	1959	652	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	14254	14733	+							SPR_RS00065	480		old_locus_tag=spr0013
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	14254	14733	+	WP_000588897.1	WP_000588897.1		sigma-70 family RNA polymerase sigma factor			SPR_RS00065	480	159	
gene	tRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	14827	14898	+							SPR_RS00070	72		old_locus_tag=sprt01
tRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	14827	14898	+				tRNA-Glu			SPR_RS00070	72		anticodon=TTC
gene	rRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	15151	16696	+							SPR_RS00075	1546		old_locus_tag=sprr01
rRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	15151	16696	+				16S ribosomal RNA			SPR_RS00075	1546		
gene	tRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	16748	16820	+							SPR_RS00080	73		old_locus_tag=sprt02
tRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	16748	16820	+				tRNA-Ala			SPR_RS00080	73		anticodon=TGC
gene	rRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	16945	19846	+							SPR_RS00085	2902		old_locus_tag=sprr02
rRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	16945	19846	+				23S ribosomal RNA			SPR_RS00085	2902		
gene	rRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	19923	20038	+					rrf		SPR_RS00090	116		old_locus_tag=sprr03
rRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	19923	20038	+				5S ribosomal RNA	rrf		SPR_RS00090	116		
gene	tRNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	20044	20117	+							SPR_RS00095	74		old_locus_tag=sprt03
tRNA		GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	20044	20117	+				tRNA-Asn			SPR_RS00095	74		anticodon=GTT
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	20225	21071	+							SPR_RS00100	847		pseudo
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	20225	21071	+				IS630 family transposase			SPR_RS00100	847		pseudo
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	21106	21902	-							SPR_RS00105	797		partial;pseudo
